question,option_A,option_B,option_C,option_D,answer,topic
"Which of the following is correct about the average kinetic energy of a gas?","The average kinetic energy of a gas is directly proportional to its temperature","At constant temperature, the volume of a gas increases as the pressure increases","Pressure of a gas is inversely proportional to its volume","The temperature of a gas is directly proportional to its volume","A","Kinetic Theory of Gases"
"30cm3 of oxygen diffuses through a porous pot in 7 seconds, how long will it take 60cm3 of chlorine to diffuse through the same pot, if the vapour density of oxygen and chlorine are 16 and 36 respectively?","9.3sec","14sec","21sec","28sec","C","Kinetic Theory of Gases"
"The normal boiling point of a liquid is defined as","the temperature at which its vapour pressure equals the atmospheric pressure","the temperature at which bubbles begin to form","the temperature at which the vapour pressure equals 1 atmosphere","the temperature at which the rate of condensation of vapour equals the rate of vaporization of the liquid","C","Kinetic Theory of Gases"
"Which of the following statements is true about a gas?","An increase in temperature of a given mass of gas increases the number of gas molecules","An increase in the temperature of a gas molecule does not affect the kinetic energy","An increase in the pressure of the gas is proportional to the increase in volume at constant temperature","A decrease in the pressure of the gas decreases the number of gas molecules","C","Kinetic Theory of Gases"
"The vapour density of a gas is defined as","the mass of a unit volume of water vapour to the mass of a unit volume of hydrogen","the mass of a unit volume of the gas compared to an equal volume of hydrogen","the mass of a unit volume of the gas compared to an equal volume of oxygen","the mass of a unit volume of the gas minus the vapour pressure of water","B","Kinetic Theory of Gases"
"A gas occupies 20.0dm3 at S.T.P. What value would it occupy at 91 degrees C and 380mmHg?","20.0dm3","80.0dm3","40.0dm3","10.0dm3","C","Kinetic Theory of Gases"
"10cm3 of CO is mixed and sparked with 100cm3 of air containing 21% O2. If all the volumes are measured at S.T.P, the volume of resulting gases would be?","90cm3","100cm3","105cm3","115cm3","B","Kinetic Theory of Gases"
"On heating, under suitable conditions, 1 litre of a monoatomic gas X combines with 1.5 litres of oxygen to form an oxide. What is the formula of the oxide?","X2O","XO","X2O3","XO2","C","Kinetic Theory of Gases"
"Under high pressure, real gases do not obey gas laws because their molecules","have become more energetic","have become less energetic","have become smaller in size","decompose into atoms and start repelling each other","D","Kinetic Theory of Gases"
"500cm3 of oxygen was collected over water at 30 degrees C and 752mmHg. What is the volume of dry oxygen at S.T.P? (vapour pressure of dry oxygen at 30 degrees C = 32mmHg)","475cm3","415cm3","586cm3","500cm3","A","Kinetic Theory of Gases"
"Which of the following is not an assumption of the kinetic theory of gases?","Gases are transparent","The particles are of negligible size","The particles are in constant random motion","The particles are of negligible mass","A","Kinetic Theory of Gases"
"The best way of collecting chlorine is by","downward displacement of air","upward displacement of air","under water","over mercury","A","Kinetic Theory of Gases"
"When air is compressed, which of the following is correct?","its density decreases","it solidifies","its temperature decreases","its temperature remains unchanged","B","Kinetic Theory of Gases"
"28.8cm3 of nitrogen at 15 degrees C is cooled at 0 degrees C at constant pressure. The new volume of nitrogen is","17.3cm3","31.7cm3","27.3cm3","34.7cm3","C","Kinetic Theory of Gases"
"Which of the following is not a true statement of the kinetic theory of gases?","The molecules move at random","The size of the molecule is negligible compared to the volume of the gas","The molecular collisions are perfectly elastic","Every molecule has the same kinetic energy at a particular temperature","D","Kinetic Theory of Gases"
"A mixture contains 20cm3 of H2, 35cm3 of oxygen, 15cm3 of carbon monoxide and 10cm3 of nitrogen. What is the mole fraction of hydrogen in this mixture?","0.02","0.16","0.20","0.25","C","Kinetic Theory of Gases"
"0.07g of a hydride of carbon occupies 56.0cm3 at S.T.P. When vaporized it contains 14.29% by mass of hydrogen. The formula of the hydrocarbon is [C=12, H=1]","CH4","C2H4","C2H2","C2H6","C","Kinetic Theory of Gases"
"The pressure on 100cm3 of oxygen gas at 35 degrees C is 750mmHg. What would be the volume of the gas if the pressure is increased to 1000mmHg without changing the temperature?","133.3cm3","85cm3","75cm3","58.3cm3","C","Kinetic Theory of Gases"
"What is the partial pressure of hydrogen gas collected over water at standard atmospheric pressure and 25 degrees C if the saturation vapour pressure of water is 23mmHg at that temperature?","737mmHg","763mmHg","777mmHg","723mmHg","A","Kinetic Theory of Gases"
"If a gas occupies a container of volume 146cm3 at 18 degrees C and 0.971 atm, its volume in cm3 at s.t.p is","133","146","266","292","A","Kinetic Theory of Gases"
"The volume occupied by 1.58g of a gas at s.t.p is 500cm3. What is the relative molecular mass of the gas?","28.6","44","32","71","D","Kinetic Theory of Gases"
"Equal volumes of CO, SO2, NO, NH3 were released into a room at the same point and time. Which of the following gives the order of diffusion of gases to opposite corner of the room?","CO, SO2, NO, NH3","SO2, NO2, H2S, CO","CO, H2S, NO2, SO2","NH3, CO, NO, SO2","D","Kinetic Theory of Gases"
"A basic postulate of the kinetic theory of gases is that the molecules of a gas move in straight lines between collisions. This implies that","collisions are perfectly elastic","forces of repulsion exist","forces of repulsion and attraction are in equilibrium","collisions are inelastic","A","Kinetic Theory of Gases"
"30cm3 of oxygen at 10 atmospheric pressure is placed in a 20dm3 container. Calculate the new pressure if the volume is kept constant.","6.7atm","15.0atm","60.0atm","66.0atm","B","Kinetic Theory of Gases"
"A given quantity of gas occupies a volume of 228cm3 at a pressure of 750mmHg. What will be its volume at atmospheric pressure?","200cm3","225cm3","230cm3","235cm3","B","Kinetic Theory of Gases"
"A sample of a gas exerts a pressure of 8.2 atm when confined in a 2.93dm3 container at 20 degrees C. The number of moles of gas in the sample is [R=0.082 litre atm/deg mole]","1.00","2.00","3.00","4.00","A","Kinetic Theory of Gases"
"A given mass of gas occupies 2dm3 at 300K. At what temperature will its volume be doubled keeping the pressure constant?","150K","480K","550K","600K","D","Kinetic Theory of Gases"
"Which of the following is a measure of the average kinetic energy of the molecules of a substance?","Volume","Mass","Pressure","Temperature","D","Kinetic Theory of Gases"
